"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.02960380281156e-112,8.51597207110228,0.999,0.043,5.10019139608516e-108,"20","Sec14l3"
3.7547792219438e-89,8.49023070699221,0.848,0.005,9.43538470682258e-85,"20","Gldn"
3.47513364184847e-79,8.02087463045455,0.787,0.008,8.73266332860101e-75,"20","Tex33"
1.01626280931486e-49,7.88846738198676,0.515,0.003,2.55376681352732e-45,"20","Kcnj5"
2.21150708380233e-99,11.7183297157105,0.927,0.005,5.55729615088688e-95,"21","Car6"
1.21983857988126e-108,11.1370482577852,0.974,0.007,3.06533236738362e-104,"21","Scgb2b27"
1.76297749639023e-91,10.9416846432048,0.888,0.006,4.43018615067901e-87,"21","Scgb1b27"
3.02602858038712e-33,10.7272892684113,0.376,0.001,7.6041072196548e-29,"21","Csn3"
7.7895070807738e-80,9.60223431664143,0.793,0.006,1.95742523432765e-75,"21","Fbp1"
1.49314796179509e-81,13.3819452316639,0.8,0.007,3.75213151319489e-77,"22","Bglap"
7.30169668444238e-81,13.223864630627,0.805,0.003,1.83484335983353e-76,"22","Bglap2"
4.27130461294531e-64,11.9901803520577,0.698,0.003,1.07333613618703e-59,"22","Ibsp"
3.05810150075632e-39,11.6766066621807,0.435,0,7.68470326125056e-35,"22","Col22a1"
3.25814843169512e-42,11.5342700935129,0.484,0.001,8.18740119400667e-38,"22","Car3"
3.54935912183724e-31,6.73469539415933,0.382,0.003,8.9191845372648e-27,"23","Ctsg"
2.31189701118328e-22,6.45994285784305,0.285,0.003,5.80956599940247e-18,"23","Mpo"
4.52865525714635e-40,5.84060669561388,0.463,0.016,1.13800577956831e-35,"23","Prtn3"
1.9338880952192e-30,5.19639886361804,0.331,0.004,4.85966739447633e-26,"23","Elane"
1.03449228594135e-41,5.18758492780268,0.483,0.014,2.59957566534202e-37,"23","Aurkb"
2.52573914446569e-31,8.96081282427223,0.382,0.001,6.34692989612782e-27,"24","Cpsf4l"
2.23447887508245e-30,8.89454320155046,0.335,0.002,5.61502196519469e-26,"24","Dcpp3"
9.87065824151638e-21,8.76616802278029,0.262,0.001,2.48039770951065e-16,"24","Otoa"
4.39211876595791e-101,7.83289844113407,0.944,0.02,1.10369552469756e-96,"24","Msln"
1.64696151419051e-96,7.4823721255824,0.91,0.015,4.13864958900932e-92,"24","Svopl"
1.04290584254938e-23,12.435078352876,0.279,0.001,2.62071809174234e-19,"25","Ces1a"
1.64174847729806e-28,12.3465411165931,0.362,0.004,4.12554974860229e-24,"25","Bpifb6"
8.52497561961567e-66,11.7516528583,0.722,0.008,2.14224112345322e-61,"25","Gpx6"
8.56695626462164e-64,11.7166425084091,0.678,0.009,2.15279043973677e-59,"25","Bpifb4"
1.49927351009556e-76,11.1200591342776,0.756,0.004,3.76752440351913e-72,"25","5430419D17Rik"
1.47622916655478e-38,11.3357899018716,0.438,0,3.70961627263551e-34,"26","Gnat3"
8.35558322542188e-48,11.2904240957488,0.524,0,2.09967450871627e-43,"26","Hmx3"
5.89456396926547e-64,11.1864156501025,0.651,0.001,1.48124497983672e-59,"26","Il25"
4.44745803170385e-55,11.1414955167148,0.632,0.001,1.11760172878686e-50,"26","Ly6g6f"
6.24504991280938e-92,10.949165721847,0.86,0.001,1.56931859258987e-87,"26","Trpm5"
6.74939037612893e-54,6.77506355160755,0.64,0.015,1.69605430761744e-49,"27","Hist1h1a"
1.5485074788484e-82,6.19010626140743,0.84,0.032,3.89124444359814e-78,"27","Hist1h1b"
1.5834890208924e-45,6.16918652737433,0.552,0.012,3.9791495606005e-41,"27","Hist1h2ab"
1.94422768617234e-27,6.03548814174162,0.395,0.008,4.88564975258249e-23,"27","Hist1h2af"
7.55363859584126e-43,6.0293059736092,0.531,0.017,1.89815384274895e-38,"27","Myl4"
1.53058458266637e-104,12.76990614345,0.961,0.001,3.84620599778231e-100,"28","Tmem212"
1.07781686367793e-100,12.3617332791199,0.905,0.001,2.70844599673626e-96,"28","Sntn"
2.78681112678244e-69,12.1759939335553,0.71,0,7.0029776804916e-65,"28","Fam216b"
