"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0032103","positive regulation of response to external stimulus",240,0.685409021008481,1.68464689745281,1.72053369804908e-05,0.00334842327389552,0.00313736185263687,343,"tags=20%, list=10%, signal=19%","20202/17394/20343/193385/20201/58185/11501/14289/16365/65221/18003/18569/17096/16172/234311/12977/246727/12765/24088/80859/58217/231655/27226/16001/12768/108960/83431/108089/19063/19697/15951/12229/192176/20128/26397/209387/21825/16170/12273/503610/12042/19225/16784/279572/21937/16174/26410"
"GO:0006119","oxidative phosphorylation",86,-0.801252276997571,-1.7096571131768,3.52330062508633e-05,0.00609904145658105,0.00571460010826733,439,"tags=49%, list=12%, signal=44%","230075/17991/225887/68375/12861/110323/66916/12864/78330/68198/75406/66414/67267/407785/54405/66142/21926/104130/14004/67184/66594/66152/12857/67264/20463/12858/68194/67130/57320/595136/12866/68197/68342/269523/66495/12868/68202/67530/66377/70316/69875/66046"
"GO:0050778","positive regulation of immune response",275,0.651061433854245,1.6457155802057,3.61603248413896e-05,0.00609904145658105,0.00571460010826733,454,"tags=23%, list=13%, signal=21%","20202/12505/19204/20201/58185/12169/11501/14289/68891/16365/65221/18173/17096/20852/104418/217304/234311/246727/24088/15007/80859/14293/231655/108960/108089/19063/56715/22350/19697/14964/15951/12229/20128/26397/57261/209387/16414/230738/217305/12273/503610/12042/230787/21682/16784/279572/16174/56619/319430/16854/378460/16952/19401/319817/19386/26416/12796/216799/108155/12363/13205/384309"
"GO:0002764","immune response-regulating signaling pathway",211,0.685303315529002,1.66409173752047,0.000100895851155498,0.0159541564639631,0.0149485168948803,454,"tags=24%, list=13%, signal=22%","20202/20201/58185/12169/18726/18725/14289/16365/65221/17096/104418/217304/234311/246727/14728/24088/80859/14293/231655/108960/108089/19063/56715/22350/19697/12229/20128/26397/246256/230738/217305/12273/503610/12042/230787/21682/16784/279572/56619/319430/16854/378460/17474/319817/19386/26416/216799/108155/12363/13205/384309"
"GO:0031347","regulation of defense response",301,0.620200750913759,1.58920479835284,0.000134806919654007,0.0200624415720375,0.018797844152373,446,"tags=23%, list=12%, signal=22%","20202/17394/12505/20201/58185/11501/14289/243272/14190/16365/65221/18569/17096/232413/16172/234311/56045/246727/24088/80859/231655/23959/12768/17969/209200/108960/108089/21354/19063/56715/100038882/100182/93694/21946/67526/224647/19697/15951/12229/20128/26397/57261/209387/16170/231712/230738/503610/12042/19225/16784/279572/21937/16174/26410/56619/14815/16952/18024/14191/19386/26416/12796/207728/216799/108155/69150/67581/12363/13205"
"GO:0042274","ribosomal small subunit biogenesis",49,-0.84426791288277,-1.69432759505689,0.000210435334278202,0.0266200697861925,0.0249421248839216,346,"tags=51%, list=10%, signal=47%","75617/20044/20826/20068/20042/67097/20055/20054/78651/18148/20088/70078/68052/20091/20103/66475/16785/20104/20116/20115/20102/67941/267019/20085/27207"
"GO:0071826","protein-RNA complex organization",95,-0.770550197055499,-1.65871626364107,0.000198105445347166,0.0266200697861925,0.0249421248839216,353,"tags=28%, list=10%, signal=26%","53356/67332/20044/56347/20826/68193/100503670/20638/68011/67097/13669/101739/20054/15516/98221/16785/20643/20104/269523/22121/66085/69878/68135/67941/73830/67025/20085"
"GO:0030335","positive regulation of cell migration",176,0.69427005490546,1.65667240573066,0.000201745565544405,0.0266200697861925,0.0249421248839216,297,"tags=16%, list=8%, signal=15%","20305/20343/193385/19204/11501/14289/18003/17096/17395/12977/12765/24088/58217/232227/11465/27226/16001/12768/19055/19878/192176/26397/21825/18128/13653/230738/20351/12273"
"GO:0002253","activation of immune response",212,0.661833600204323,1.60693851985963,0.000224372096377596,0.0270314954207295,0.0253276170948545,454,"tags=23%, list=13%, signal=21%","20202/20201/58185/12169/14289/16365/65221/17096/104418/217304/234311/246727/24088/80859/14293/231655/108960/108089/19063/56715/22350/19697/15951/12229/20128/26397/209387/230738/217305/12273/503610/12042/230787/21682/16784/279572/56619/319430/16854/378460/319817/19386/26416/216799/108155/12363/13205/384309"
"GO:0040017","positive regulation of locomotion",183,0.672246166896494,1.60884247232788,0.000243636949866373,0.0280182492346329,0.0262521727798599,297,"tags=16%, list=8%, signal=15%","20305/20343/193385/19204/11501/14289/18003/17096/17395/12977/12765/24088/58217/232227/11465/27226/16001/12768/19055/19878/192176/26397/21825/16170/18128/13653/230738/20351/12273"
